Reference,Type,Study Year,State,n,Used,Reason
Delaney and Sikora (2013a),UP,2013,AL,12,Yes,
Delaney et al. (2011),PDMR,2010,AL,8,Yes,
"Delaney, Sikora, and Delaney (2013a)",PDMR,2013,AL,9,Yes,
"Delaney, Sikora, and Delaney (2013b)",PDMR,2013,AL,9,Yes,
"Douglas et al., ""Fungicides at NFREC,"" (2008)",PDMR,2008,FL,18,Yes,
"Douglas et al., ""Topguard at NFREC,"" (2008)",PDMR,2008,FL,13,Yes,
Harmon et al. (2006),PDMR,2006,FL,12,Yes,
"Kemerait et al., ""Attapulgus Trial 3,"" (2006)",PDMR,2006,GA,5,Yes,
Lawrence et al .(2009),PDMR,2008,AL,9,Yes,
Lawrence et al. (2013),PDMR,2013,AL,5,Yes,
"Lawrence et al., ""Absolute, Folicur and Stratego,""(2007)",PDMR,2006,AL,3,Yes,
"Lawrence et al., ""Absolute,"" (2006)",FNT,2005,AL,6,Yes,
"Lawrence et al., ""LEM17,"" (2007)",PDMR,2007,AL,6,Yes,
"Lawrence et al., ""Punch 2005,"" (2006)",FNT,2005,AL,6,Yes,
"Lawrence et al., ""Punch and Charisma 2006,"" (2006)",PDMR,2006,AL,10,Yes,
"Lawrence et al., ""Selected fungicides,"" (2007)",PDMR,2006,AL,11,Yes,
"Lawrence et al., ""Soybean rust fungicide,"" (2008)",PDMR,2008,AL,13,Yes,
"Lawrence et al., ""Topsin,"" (2007)",PDMR,2007,AL,7,Yes,
"Lawrence et al., ""Topsin,"" (2008)",PDMR,2007,AL,7,Yes,
"Mueller et al., ""Cerexagri,"" (2008)",PDMR,2006,FL,11,Yes,
"Mueller et al., ""Cheminova,"" (2006)",PDMR,2006,FL,17,Yes,
"Mueller et al., ""Dow fungicides,""(2008)",PDMR,2006,FL,6,Yes,
"Mueller et al., ""Fungicides for soybean rust,"" (2008)",PDMR,2006,FL,15,Yes,
"Mueller et al., ""Valent,"" (2008)",PDMR,2006,FL,4,Yes,
"Mueller, Marois, and Wright (2008a)",PDMR,2007,FL,3,Yes,
"Mueller, Marois, and Wright (2008b)",PDMR,2007,FL,9,Yes,
"Mueller, Miles, and Hartman (2008)",PDMR,2006,GA,15,Yes,
"Mueller, Miles, and Hartman et al. (2008)",PDMR,2006,FL,23,Yes,
Padgett and Purvis (2007),PDMR,2005,LA,9,Yes,
Price et al. (2013),PDMR,2012,LA,12,Yes,
Sikora et al. (2006),PDMR,2006,AL,12,Yes,
Sikora et al. (2009),PRP,2007,AL,12,Yes,
"Sikora, Delaney, and Delaney (2013a)",PDMR,2013,AL,4,Yes,
"Sikora et al., ""Ballad,"" (2005)",FNT,2006,AL,7,Yes,
Allen (2011a),PDMR,2010,MS,8,No,No rust severity
Allen (2011b),PDMR,2010,MS,7,No,No rust severity
Allen (2013a),PDMR,2011,MS,5,No,No rust severity
Allen (2013b),PDMR,2011,MS,5,No,No rust severity
Delaney and Sikora (2009),UP,2009,AL,13,No,No rust severity
Delaney and Sikora (2013b),UP,2013,AL,2,No,No rust severity
Delaney and Sikora (2013c),UP,2013,AL,2,No,No rust severity
Delaney and Sikora (2013d),UP,2013,AL,3,No,No rust severity
Delaney and Sikora (2013e),UP,2013,AL,2,No,No rust severity
Delaney et al. (2012),PDMR,2011,AL,12,No,No rust severity
"Delaney et al., ""Belle Mina,"" (2010)",UP,2010,AL,8,No,No rust severity
"Delaney et al., ""Shorter"" (2010)",UP,2010,AL,8,No,No rust severity
Douglas et al. (2009),PDMR,2009,FL,11,No,No rust severity
Kemerait and Sconyers (2006),PDMR,2006,GA,12,No,No rust severity
"Kemerait et al., ""Attapulgus Valent,"" (2006)",PDMR,2006,GA,15,No,No rust severity
"Kemerait, Jost, and Sconyers (2005)",FNT,2005,GA,8,No,No rust severity
"Kemerait, Sconyers, and Jost  (2006)",PDMR,2006,GA,10,No,No rust severity
"Kemerait, Sconyers, and Mills (2006)",PDMR,2006,GA,7,No,No rust severity
"Mueller et al., ""Fugnicides and adjuvants,"" (2006)",PDMR,2006,FL,6,No,No rust severity
"O'Brien et al., ""NFREC 2012,"" (2013)",PDMR,2012,FL,7,No,No rust severity
"O'Brien, George, Douglas, et al. (2013)",PDMR,2013,FL,13,No,No rust severity
Padgett and Purvis (2005b),PDMR,2005,LA,15,No,No rust severity
Padgett and Purvis. (2005a),PDMR,2005,LA,15,No,No rust severity
Schneider et al. (2006),PDMR,2006,LA,23,No,No rust severity
Sikora et al. (2012),PDMR,2011,AL,4,No,No rust severity
"Sikora, Delaney, and Delaney (2013b)b",PDMR,2013,AL,4,No,Disease pressure <5%
"Sikora et al., ""Asian soybean rust,"" (2005)",FNT,2005,AL,13,No,No rust severity
