"","FID","Reference","ReferenceNumb","studyYear","State","location","m1i","m2i","n2i","n1i","rust.m2i","number_applications","category_rstage","category_ai","category_class","category_pressure","category_year","yi","vi"
"1",1,"Mueller et al  ref 1",1,2007,"FL","NFREC",9.92,9.92,5,5,100,1,NA,NA,NA,"high",NA,0,0.00406477627471384
"2",2,"Mueller et al  ref 1",1,2007,"FL","NFREC",10.7,9.92,5,5,100,1,NA,NA,NA,"high",NA,0.075690820171079,0.00377926559390334
"3",3,"Mueller et al  ref 1",1,2007,"FL","NFREC",13.6,9.92,5,5,100,1,NA,NA,"strobilurin","high",NA,0.315516871445225,0.00311370301624965
"4",50,"Mueller et al ref 9",9,2007,"FL","NFREC",13.61,11.34,4,4,88,1,"3","MIXED",NA,"high",NA,0.182468518363769,0.00329373703522303
"5",51,"Mueller et al ref 9",9,2007,"FL","NFREC",15.03,11.34,4,4,88,1,"3","MIXED","triaz + strob","high",NA,0.281711905465277,0.00305075892213354
"6",52,"Mueller et al ref 9",9,2007,"FL","NFREC",13.89,11.34,4,4,88,1,"3","TEBU","triazole","high",NA,0.202832858466646,0.00323987162248096
"7",53,"Mueller et al ref 9",9,2007,"FL","NFREC",13.61,11.34,4,4,88,1,"3","MIXED","triaz + strob","high",NA,0.182468518363769,0.00329373703522303
"8",54,"Mueller et al ref 9",9,2007,"FL","NFREC",14.17,11.34,4,4,88,1,"3","MIXED","triaz + strob","high",NA,0.222790755402983,0.00318916770503616
"9",55,"Mueller et al ref 9",9,2007,"FL","NFREC",13.32,11.34,4,4,88,1,"3","TEBU","triazole","high",NA,0.160930366812637,0.00335314568198246
"10",56,"Mueller et al ref 9",9,2007,"FL","NFREC",13.89,11.34,4,4,88,1,"3","MIXED",NA,"high",NA,0.202832858466646,0.00323987162248096
"11",57,"Mueller et al ref 9",9,2007,"FL","NFREC",13.32,11.34,4,4,88,1,"3",NA,"strobilurin","high",NA,0.160930366812637,0.00335314568198246
"12",58,"Mueller et al ref 9",9,2007,"FL","NFREC",12.47,11.34,4,4,88,1,"3","MIXED","triaz + strob","high",NA,0.094989461392339,0.0035517866943402
"13",161,"Delaney ref 30",30,2013,"AL","EVSREC",12.2,11.7,4,4,24,1,NA,"FLUT","triazole","low",NA,0.0418471099355005,0.00350593988401581
"14",162,"Delaney ref 30",30,2013,"AL","EVSREC",12.4,11.7,4,4,24,1,NA,NA,"triazole","low",NA,0.0581076308072808,0.00345219438745146
