FID,Reference,ReferenceNumb,studyYear,State,location,soil,planted date,Date rust first appeared,Growth stage applied,applicationsNumb,trade name,active ingredient,active ingredient coded,class,class code,amount,stats,replications,mean sep,rustSeverPerc,rustSeverPercLSD,rustSeverPercCont,rustSeverPercContLSD,rustSever1-8,rustSever1-8LSD,rustSever1-8Cont,rustSever1-8ContLSD,Tsincidence,TSincidenceLSD,TSincidenceCont,TSincidenceContLSD,Tsseverity,TSseverityLSD,TSseverityCont,TSseverityContLSD,CercoSever,CercoSeverLSD,CercoSeverCont,CercoSeverContLSD,yield,yieldLSD,yieldCont,yieldContLSD,seedWt,seedWtLSD,seedWtCont,seedWtContLSD,defoliation,lsd,control defol,conrol lsd,aerial web,lsd arial,control arial web,lsd arial
1,Mueller et al  ref 1,1,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r4,1,Roundup Weathermax,glyphosate,gly,herbicide,herbicide,48,rcb,5,Fishers LSD (p</=0.05,98,6,100,6,,,,,,,,,,,,,,,,,29.2,3.2,34.4,3.2,9.92,0.57,9.92,0.57,98,4,100,4,,,,
2,Mueller et al  ref 1,1,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r4,1,Roundup Weathermax,glyphosate,gly,herbicide,herbicide,48,rcb,5,Fishers LSD (p</=0.05,96,6,100,6,,,,,,,,,,,,,,,,,31.2,3.2,34.4,3.2,10.7,0.57,9.92,0.57,95,4,100,4,,,,
3,Mueller et al  ref 1,1,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r4,1,Headline ,pyraclostrobin,pyra,strobilurin,strobilurin,7.8,rcb,5,Fishers LSD (p</=0.05,24,6,100,6,,,,,,,,,,,,,,,,,34.4,3.2,34.4,3.2,13.6,0.57,9.92,0.57,98,4,100,4,,,,
13,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,Tebuzol ,tebuconazole,tebu,triazole,mma,4,rcb,4,Fishers LSD (p</=0.05,,,,,3.8,1.8,7.2,1.8,,,,,,,,,,,,,63.9,6.2,58,6.2,,,,,,,,,,,,
14,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,Tebuzol + Topsin ,tebuconazole + thiophanate,tebu+thi,mixed modes of action,mma,4 + 4.5,rcb,4,Fishers LSD (p</=0.05,,,,,2,1.8,7.2,1.8,,,,,,,,,,,,,70.7,6.2,58,6.2,,,,,,,,,,,,
15,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,ACT Plus,other,oth,other,other,16,rcb,4,Fishers LSD (p</=0.05,,,,,2.2,1.8,7.2,1.8,,,,,,,,,,,,,67.7,6.2,58,6.2,,,,,,,,,,,,
16,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,KFD-21-01 1,other,oth,other,other,16,rcb,4,Fishers LSD (p</=0.05,,,,,2,1.8,7.2,1.8,,,,,,,,,,,,,69.8,6.2,58,6.2,,,,,,,,,,,,
17,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,7.8,rcb,4,Fishers LSD (p</=0.05,,,,,2,1.8,7.2,1.8,,,,,,,,,,,,,73.3,6.2,58,6.2,,,,,,,,,,,,
18,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,Tebuzol  + Topsin ,tebuconazole + thiophanate,tebu+thi,mixed modes of action,mma,4 + 16,rcb,4,Fishers LSD (p</=0.05,,,,,2.4,1.8,7.2,1.8,,,,,,,,,,,,,68.5,6.2,58,6.2,,,,,,,,,,,,
19,Lawrence et al ref 3,3,2007,AL,GCREC,Malbis fine sandy loam,39240,39340,r3+r5,2,Topsin,thiophanate,thi,thiophanate,thiophanate,16,rcb,4,Fishers LSD (p</=0.05,,,,,2,1.8,7.2,1.8,,,,,,,,,,,,,68.8,6.2,58,6.2,,,,,,,,,,,,
20,lawrence et al ref 4,4,2005,AL,EV Smith,Cahaba sandy loam,38495,39340,r1+21d,2,Punch,flusilazole,flus,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,5,5.2,7.2,1.8,60,17.1,60,17.1,2.5,0.7,2.4,0.7,2.1,0.9,2,0.9,64.7,8.3,59.6,8.3,,,,,,,,,,,,
